id_atendimento,id_cliente,angel,polo,data_limite,data_de_atendimento
733,386722202,Pedro Terra Virgilio,MA - SAO LUIS,2021-06-30,
847,282743061,Jônatas de Terra,PR - APUCARANA,2021-06-30,
839,742438390,Jônatas Pereira Magalhães,PR - FOZ DO IGUAÇU,2021-06-30,
789,886872635,Mariana Virgilio Torres,PA - MARABA,2021-06-30,
776,118651274,Gabriel Sena de,AL - MACEIO,2021-06-30,
814,633613928,Mariana Magalhães Bandoli,PB - CAMPINA GRANDE,2021-06-30,
873,420126460,Fabricio Magalhães Ferreira,ES - CACHOEIRO DE ITAPEMIRIM,2021-06-30,
934,1054477,Sergio Terra Virgilio,CE - FORTALEZA,2021-06-30,
877,819813949,Éder Magalhães Wanderley,PR - MARINGA,2021-06-30,
899,156869777,Eduardo Magalhães Xará,RJ - ITAPERUNA,2021-06-30,
890,187759947,João Xará Oliveira,RJ - VOLTA REDONDA,2021-06-30,
957,480305408,Éder Wanderley Terra,RJ - BUNKER 1,2021-06-30,
1009,637900881,Sergio Magalhães Wanderley,CE - CASCAVEL,2021-06-30,
1057,604335789,Pedro Torres Bandoli,MG - PATOS DE MINAS,2021-06-30,
1053,260922595,Sergio Sena Magalhães,CE - CASCAVEL,2021-06-30,
1038,524198436,Gabriel Magalhães Oliveira,AL - MACEIO,2021-06-30,
1054,195341017,Sergio Sena Terra,CE - CASCAVEL,2021-06-30,
1149,127948804,Sergio Oliveira Neves,CE - SOBRAL,2021-06-30,
1155,194846272,João Magalhães Sena,RJ - SAO GONÇALO,2021-06-30,
1108,605835356,Gabriel Wanderley Pereira,AP - MACAPA,2021-06-30,
1127,872618709,Fabricio Xará Magalhães,ES - VITORIA,2021-06-30,
1088,278021019,Fabricio Terra de,ES - GUARAPARI,2021-06-30,
1130,623751602,Fabricio de Xará,GO - CATALAO,2021-06-30,
1192,802905139,Gabriel Neves Oliveira,BA - BUNKER SALVADOR,2021-06-30,
1236,371312753,João Xará Virgilio,RJ - VOLTA REDONDA,2021-06-30,
1261,716569246,Sergio de Xará,CE - SOBRAL,2021-06-30,
1224,514269026,Mariana de Pereira,PE - BUNKER RECIFE 1,2021-06-30,
1215,791121510,Sergio Neves Oliveira,DF - BRASILIA,2021-06-30,
1214,328404558,Bruna Oliveira Lima,MT - CUIABA,2021-06-30,
1264,536186213,Bruna Ferreira Virgilio,MG - POÇOS DE CALDAS,2021-06-30,
1260,320157122,Pedro Pereira Oliveira,MG - PATOS DE MINAS,2021-06-30,
1227,306326149,Fabricio Ferreira Bandoli,ES - ARACRUZ,2021-06-30,
